Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,Moves,NumMoves
Rated Bullet game,https://lichess.org/VsUqVhC2,2025.07.01,-,my_name_jeff,xxxgrishaxxx,0-1,2025.07.01,00:00:31,1706,1671,-6,+6,A43,Benoni Defense: Old Benoni,60+0,Time forfeit,1. d4 1... c5 2. e3 2... e6 3. dxc5 3... Bxc5 4. Nf3 4... Nf6 5. c3 5... Nc6 6. Bb5 6... a6 7. Bxc6 7... bxc6 8. O-O 8... d5 9. Nd4 9... Bd7 10. Qf3 10... O-O 11. h4 11... e5 12. Nc2 12... Bd6 13. h5 13... e4 14. Qe2 14... Bg4 15. f3 15... exf3 16. gxf3 16... Bxh5 17. e4 17... dxe4 18. Ne1 18... exf3 19. Nxf3 19... Qd7 20. Bg5 20... Qg4+ 21. Qg2 21... Qxg2+ 22. Kxg2 22... Bxf3+ 23. Rxf3 23... Ne4 24. Be3 24... h6 25. Nd2 25... Rfe8 26. Nxe4 26... Rxe4 27. Bd4 27... Rae8 28. Raf1 28... c5 29. Bg1 29... f6 30. a3 30... Re2+ 31. Bf2 31... Rxb2 32. Kh3 32... Ree2 33. Kg2 33... c4 34. a4 34... Bc5 35. Re3 35... Bxe3,35
Rated Bullet game,https://lichess.org/dAPM8wzS,2025.07.01,-,Lostratega,abdo0diab2000,1-0,2025.07.01,00:00:31,2262,2191,+5,-5,A46,Indian Defense: Wade-Tartakower Defense,60+0,Normal,1. d4 1... d6 2. Nf3 2... Nf6 3. c4 3... d5 4. Nc3 4... Bg4 5. cxd5 5... Bxf3 6. exf3 6... Nxd5 7. Bc4 7... c6 8. Qb3 8... Nxc3 9. bxc3 9... Qb6 10. Bxf7+ 10... Kd8 11. Qe6 11... Nd7 12. O-O 12... Nf6 13. Bg5 13... Nd5 14. c4 14... Nc7 15. Qe4 15... Qa5 16. Bf4 16... Kd7 17. Bxc7 17... Kxc7 18. d5 18... Rd8 19. dxc6 19... bxc6 20. Rab1 20... e5 21. c5 21... Qxc5 22. Rfc1 22... Qd6 23. h3 23... Be7 24. Bb3 24... Qd4 25. Qxc6+ 25... Kb8 26. Bd5+ 26... Bb4 27. Qb7#,26
Rated Bullet game,https://lichess.org/aoCEGX3k,2025.07.01,-,YarnHugen,LateralusMind,0-1,2025.07.01,00:00:31,2279,2339,-5,+4,A46,Yusupov-Rubinstein System,60+0,Normal,1. d4 1... Nf6 2. Nf3 2... e6 3. e3 3... Be7 4. Bd3 4... b6 5. O-O 5... Bb7 6. b3 6... c5 7. Bb2 7... cxd4 8. e4 8... O-O 9. Re1 9... d6 10. Nxd4 10... Nbd7 11. Nd2 11... a6 12. a3 12... Rc8 13. N2f3 13... Rc7 14. Qd2 14... Qa8 15. Rad1 15... Nxe4 16. Bxe4 16... Bxe4 17. c4 17... Nf6 18. h3 18... Rd8 19. Qe3 19... Bb7 20. Ng5 20... e5 21. Nde6 21... fxe6 22. Nxe6 22... Rcd7 23. Nxd8 23... Qxd8 24. b4 24... Qa8 25. g3 25... Bf3 26. Rd3 26... Bh1 27. f3 27... e4 28. fxe4 28... Bxe4 29. Rd2 29... Bg6 30. Qe6+ 30... Bf7 31. Bxf6 31... Bxe6,31
Rated Bullet game,https://lichess.org/yNTMyTZV,2025.07.01,-,Timon_01,tbruins82,0-1,2025.07.01,00:00:31,971,1040,-16,+4,A00,Polish Opening,60+0,Normal,1. b4 1... e5 2. Bb2 2... f5 3. Bxe5 3... Bc5 4. Bxg7 4... Bxf2+ 5. Kxf2 5... Qg5 6. Bxh8 6... Nf6 7. Bxf6 7... Qxf6 8. Ke1 8... Qxa1 9. Nc3 9... Qxa2 10. Qb1 10... Qe6 11. Nf3 11... Qh6 12. e3 12... d6 13. Bc4 13... Nc6 14. Kf2 14... Be6 15. Bxe6 15... Qxe6 16. Ng5 16... Qh6 17. Nf3 17... O-O-O 18. Qb3 18... Ne5 19. Nxe5 19... dxe5 20. h3 20... Rxd2+ 21. Kg1 21... Qh4 22. Kh2 22... f4 23. Ne4 23... fxe3 24. Nxd2 24... Qf4+ 25. g3 25... Qf2#,25
Rated Bullet game,https://lichess.org/8BMCO7Nj,2025.07.01,-,birddead,jay623,0-1,2025.07.01,00:00:31,1752,1737,-6,+6,C41,Philidor Defense,60+0,Time forfeit,1. e4 1... e5 2. Nf3 2... d6 3. Bc4 3... Be7 4. d4 4... h6 5. dxe5 5... a6 6. exd6 6... cxd6 7. Nc3 7... Nc6 8. O-O 8... Na5 9. Bd5 9... Nc6 10. h3 10... Bd7 11. Bf4 11... Nf6 12. Bb3 12... Na5 13. Nd5 13... Nxd5 14. Bxd5 14... Bc6 15. Bxc6+ 15... bxc6 16. Qd2 16... O-O 17. Rad1 17... d5 18. exd5 18... cxd5 19. Qxd5 19... Bf6 20. Qxd8 20... Rfxd8 21. Be5 21... Rxd1 22. Rxd1 22... Bxe5 23. Nxe5 23... Re8 24. Nf3 24... Nc4 25. b3 25... Na3 26. c4 26... a5 27. c5 27... a4 28. bxa4 28... Nc4 29. c6 29... Rc8 30. Nd4 30... Ne5 31. Rc1 31... g6 32. a5 32... f5 33. a6 33... Kf7 34. a7 34... Ra8 35. c7 35... Rxa7 36. c8=Q 36... Rxa2 37. Rc7+ 37... Kf6 38. Qe6+ 38... Kg5 39. h4+ 39... Kf4 40. Qxe5+ 40... Kxe5 41. Re7+ 41... Kxd4,41
Rated Bullet game,https://lichess.org/oZg3qWYl,2025.07.01,-,a_Random_Rook,Tomorrow_Man,0-1,2025.07.01,00:00:31,1786,1801,-5,+6,B00,Owen Defense,60+0,Time forfeit,1. e4 1... b6 2. d3 2... Bb7 3. Nc3 3... g6 4. Be3 4... Bg7 5. Nf3 5... e6 6. Be2 6... Ne7 7. Qd2 7... d5 8. O-O-O 8... d4 9. Bxd4 9... Bxd4 10. Nxd4 10... Qxd4 11. f4 11... Nbc6 12. g4 12... O-O-O 13. f5 13... gxf5 14. gxf5 14... exf5 15. exf5 15... Nxf5 16. Qg5 16... Qe3+ 17. Qxe3 17... Nxe3 18. Rdg1 18... Rhg8 19. Re1 19... Nd4 20. Bh5 20... Bxh1 21. Rxe3 21... Bb7 22. h3 22... Rg1+ 23. Kd2 23... Rdg8 24. Bg4+ 24... Kb8 25. Re7 25... Bc8 26. Nd5 26... Bxg4 27. hxg4 27... Rg2+ 28. Kc3 28... Nb5+ 29. Kb4 29... Nd6 30. Nxc7 30... R2xg4+ 31. Kc3 31... R8g5 32. Ne8 32... Nb5+ 33. Kb3 33... Rg2 34. Rxf7 34... Nd4+ 35. Kc3 35... Ne2+ 36. Kb3 36... Rb5+,36
Rated Bullet game,https://lichess.org/yUEcdPCa,2025.07.01,-,ale_998,ArtyCranner,0-1,2025.07.01,00:00:31,1144,1125,-6,+7,A00,Van't Kruijs Opening,60+0,Normal,1. e3 1... c6 2. d4 2... d5 3. c4 3... Bf5 4. Nc3 4... e6 5. Bd3 5... Bxd3 6. Qxd3 6... Nf6 7. cxd5 7... cxd5 8. Nf3 8... Nc6 9. O-O 9... Qb6 10. Ne5 10... Nxe5 11. dxe5 11... Nd7 12. b3 12... Nxe5 13. Qc2 13... Bd6 14. Na4 14... Qc7 15. Bb2 15... Qxc2,15
Rated Bullet game,https://lichess.org/MIxT6upK,2025.07.01,-,likerszap,vincgrandmaster,0-1,2025.07.01,00:00:31,1950,1946,-6,+6,A00,Hungarian Opening,60+0,Time forfeit,1. g3 1... e5 2. Bg2 2... Nf6 3. e4 3... c6 4. c4 4... d5 5. cxd5 5... cxd5 6. exd5 6... Nxd5 7. Ne2 7... Be6 8. O-O 8... Nc6 9. d4 9... e4 10. a3 10... Bf5 11. b4 11... Bd6 12. Qb3 12... Nb6 13. d5 13... Nd4 14. Nxd4 14... Be5 15. Bb2 15... Qf6 16. Rd1 16... O-O 17. Nd2 17... Qh6 18. Nxf5 18... Qg5 19. Ne3 19... Rae8 20. Bxe5 20... Qxe5 21. d6 21... Rd8 22. Ndc4 22... Nxc4 23. Nxc4 23... Qf5 24. Re1 24... Qf6 25. Bxe4 25... Qe5 26. Bxb7 26... Qe6 27. Ba6 27... Qf6 28. Rad1 28... Qg6 29. Ne5 29... Qf6,29
Rated Bullet game,https://lichess.org/PQKFGjSt,2025.07.01,-,br0ze-YT,QueenPalestine,1-0,2025.07.01,00:00:31,1579,1511,+5,-4,A05,Zukertort Opening: Lemberger Gambit,60+0,Time forfeit,1. e4 1... Nf6 2. Nf3 2... d6 3. d3 3... c6 4. Nc3 4... e5 5. Bg5 5... Be7 6. Be2 6... O-O 7. Qd2 7... Qc7 8. O-O-O 8... Rd8 9. h4 9... h6 10. Ne1 10... hxg5 11. hxg5 11... Nh7 12. Qe3 12... Bxg5 13. f4 13... Bxf4 14. Qxf4 14... exf4 15. Nf3 15... f5 16. Rh4 16... fxe4 17. dxe4 17... g5 18. Rh5 18... Bg4 19. Rh6 19... Bxf3 20. Bxf3 20... Nd7 21. Rdh1 21... Ndf6 22. Rg6+ 22... Kf7 23. Rgh6 23... Rh8 24. e5 24... dxe5 25. Ne4 25... Nxe4 26. Bxe4 26... Kg8 27. Bxh7+ 27... Rxh7 28. Rg6+ 28... Kh8 29. Rd1 29... Rg8 30. Rgd6 30... g4 31. R6d2 31... f3 32. gxf3 32... gxf3 33. Rf2 33... Rf8 34. Rdf1 34... e4 35. a3 35... Qf4+ 36. Kb1,35
Rated Bullet game,https://lichess.org/af0VgzsN,2025.07.01,-,peakfallenn,qmrtll,1-0,2025.07.01,00:00:31,1820,1850,+7,-7,A40,Queen's Pawn Game,60+0,Normal,1. d4 1... c6 2. Bf4 2... d5 3. e3 3... Bf5 4. Bd3 4... Bxd3 5. Qxd3 5... e6 6. c3 6... Bd6 7. Bg3 7... Ne7 8. Nf3 8... Nf5 9. Nbd2 9... O-O 10. e4 10... Nxg3 11. hxg3 11... a6 12. e5 12... Be7 13. Qxh7#,12
