Event,Result,WhiteElo,BlackElo,ECO,Opening,TimeControl,Termination,white_material,black_material,material_diff,white_pieces_attacked,white_attacked_value,black_pieces_attacked,black_attacked_value,attacked_diff,white_center_pieces,black_center_pieces,white_center_control,black_center_control,center_control_diff,white_extended_control,black_extended_control,extended_control_diff,white_can_castle_kingside,white_can_castle_queenside,black_can_castle_kingside,black_can_castle_queenside,white_has_castled,black_has_castled,white_castling_rights_count,black_castling_rights_count,white_mobility,black_mobility,mobility_diff,white_weighted_mobility,black_weighted_mobility,weighted_mobility_diff,position_advantage,center_advantage,aggression,pawn_structure,pieces_protected,degrees_of_freedom,opponent_aggression,queen_position,knight_position,bishop_position,rook_position,pawn_position,dof_x_material
Blitz,1,2045,2126,B56,Sicilian Defense: Classical Variation,300+0,Normal,38,38,0,3,7,4,8,1,1,1,3,3,0,12,11,1,0,0,0,0,0,1,0,0,45,42,3,195.0,0.0,195.0,-1,1,1,-2,-2,3,3,4,0,-1,2,0,3306.0
Blitz,1,1576,1588,A00,Hungarian Opening: Dutch Defense,180+0,Normal,38,37,1,1,1,3,5,4,0,1,4,3,1,14,9,5,0,0,0,0,1,1,0,0,46,33,13,185.0,0.0,185.0,6,5,2,0,0,13,5,5,0,1,0,0,2969.0
Blitz,1,2315,2282,E00,Catalan Opening,180+0,Normal,38,38,0,4,6,3,5,-1,1,2,4,4,0,10,10,0,0,0,0,0,1,1,0,0,40,38,2,142.0,0.0,142.0,-4,0,-1,0,-1,2,-3,0,2,-2,-3,0,2964.0
Blitz,1,1935,1988,A48,East Indian Defense,180+0,Normal,32,31,1,2,2,0,0,-2,1,0,4,2,2,11,8,3,1,1,0,0,0,0,2,0,46,39,7,182.0,0.0,182.0,3,3,-2,0,0,7,4,0,12,-6,1,2,2681.0
Blitz,-1,1885,1851,D00,"Queen's Pawn Game: Accelerated London System, Steinitz Countergambit",180+0,Normal,32,32,0,2,2,2,2,0,1,1,3,4,-1,10,12,-2,0,0,0,0,1,1,0,0,45,38,7,173.0,0.0,173.0,-4,-2,0,-1,-1,7,-3,-5,-10,11,0,-1,2656.0
Blitz,-1,1654,1701,A46,Indian Defense: London System,180+0,Normal,33,33,0,2,2,3,3,1,2,1,3,3,0,12,10,2,1,1,0,0,0,1,2,0,41,36,5,149.0,0.0,149.0,-1,2,1,1,-1,5,-1,-3,0,1,3,1,2541.0
Blitz,1,1816,1829,C30,King's Gambit Declined: Queen's Knight Defense,180+0,Normal,35,35,0,4,8,4,8,0,0,2,4,2,2,13,12,1,0,0,0,0,1,1,0,0,39,37,2,163.0,0.0,163.0,5,1,0,1,1,2,2,2,6,-3,0,0,2660.0
Blitz,-1,2040,1995,D00,Queen's Pawn Game: Accelerated London System,180+0,Normal,32,32,0,1,1,1,1,0,2,1,4,3,1,9,10,-1,0,0,0,0,1,0,0,0,28,34,-6,89.0,0.0,89.0,-2,-1,0,1,0,-6,3,-5,0,-1,-1,1,1984.0
Blitz,1,1559,1562,A00,Polish Opening: King's Indian Variation,180+0,Normal,36,33,3,5,5,2,2,-3,1,1,4,4,0,12,12,0,0,0,0,0,1,1,0,0,37,42,-5,152.0,0.0,152.0,-2,0,-3,0,2,-5,0,-3,8,-2,2,0,2718.0
Blitz,-1,1743,1758,C46,Three Knights Opening,180+0,Normal,32,33,-1,1,5,3,7,2,0,2,3,3,0,11,12,-1,0,0,1,0,0,0,0,1,44,35,9,185.0,0.0,185.0,4,-1,2,1,2,9,0,5,8,-5,4,-2,2563.0
Blitz,1,2078,2057,B00,"Nimzowitsch Defense: Kennedy Variation, Main Line",180+0,Normal,32,31,1,5,8,3,5,-3,1,2,3,4,-1,11,14,-3,0,0,0,0,1,1,0,0,4,36,-32,23.0,0.0,23.0,0,-3,-2,0,-1,-32,0,-1,8,-1,4,2,1244.0
Blitz,1,1443,1469,C45,Scotch Game,180+0,Normal,26,29,-3,1,1,3,3,2,0,0,2,3,-1,11,10,1,0,0,0,0,1,1,0,0,41,34,7,199.0,0.0,199.0,-2,1,2,-4,-3,7,2,0,0,2,6,-6,2052.0
Blitz,-1,1659,1629,A40,Englund Gambit: Hartlaub-Charlick Gambit,300+0,Normal,20,19,1,0,0,1,1,1,1,1,3,2,1,9,7,2,0,0,1,1,1,0,0,2,28,23,5,75.0,0.0,75.0,2,2,1,-1,0,5,2,0,0,2,4,2,997.0
Blitz,-1,1940,1926,B02,Alekhine Defense: Scandinavian Variation,180+0,Normal,31,34,-3,5,9,2,2,-7,1,1,4,3,1,12,10,2,1,1,1,1,0,0,2,2,33,47,-14,167.0,0.0,167.0,-5,2,-3,3,3,-14,-7,3,-6,-3,0,0,2621.0
Blitz,0,1809,1789,B01,Scandinavian Defense: Valencian Variation,180+0,Normal,37,36,1,1,1,2,4,3,0,0,2,4,-2,11,10,1,0,0,0,0,1,0,0,0,44,36,8,164.0,0.0,164.0,5,1,1,3,3,8,2,2,0,0,-1,2,2924.0
Blitz,1,1436,1504,B40,Sicilian Defense: French Variation,180+0,Normal,34,35,-1,4,8,1,1,-7,0,2,2,3,-1,8,13,-5,0,0,0,0,1,1,0,0,33,43,-10,96.0,0.0,96.0,-5,-5,-3,-1,2,-10,-6,-10,5,4,-3,-2,2627.0
Blitz,1,2047,2036,E61,King's Indian Defense: Smyslov Variation,180+0,Normal,38,38,0,3,3,2,4,1,1,1,4,4,0,13,12,1,0,0,0,0,1,1,0,0,41,37,4,157.0,0.0,157.0,4,1,-1,-1,0,4,3,2,2,1,-2,0,2964.0
Blitz,1,1858,1879,B33,Sicilian Defense: Lasker-Pelikan Variation,180+0,Normal,35,35,0,6,10,3,5,-5,1,2,4,3,1,10,11,-1,0,0,0,0,0,0,0,0,38,54,-16,170.0,0.0,170.0,-6,-1,-3,4,5,-16,-10,2,4,-8,-8,0,3220.0
Blitz,-1,1819,1819,A10,English Opening,180+0,Normal,38,38,0,3,5,3,5,0,2,1,2,4,-2,13,10,3,0,0,0,0,1,1,0,0,46,27,19,186.0,0.0,186.0,6,3,0,-2,-3,19,7,5,-5,5,2,0,2774.0
Blitz,1,1835,1923,D06,Queen's Gambit Declined: Baltic Defense,180+0,Normal,32,32,0,4,6,3,5,-1,1,0,3,3,0,11,10,1,0,0,0,0,1,1,0,0,38,35,3,192.0,0.0,192.0,3,1,-1,1,1,3,2,4,-3,5,-2,0,2336.0
Blitz,-1,2065,2108,C25,Vienna Game: Max Lange Defense,180+0,Normal,35,36,-1,3,5,3,3,-2,0,2,3,2,1,9,13,-4,1,1,0,0,0,1,2,0,33,40,-7,145.0,0.0,145.0,-5,-4,0,1,-1,-7,-6,-2,3,-7,2,-2,2595.0
Blitz,-1,2117,2126,B06,Modern Defense: Three Pawns Attack,180+0,Normal,23,25,-2,2,2,2,2,0,1,0,2,2,0,10,8,2,0,0,1,1,1,0,0,2,32,28,4,87.0,0.0,87.0,1,2,0,-1,-1,4,1,0,2,6,-2,-5,1436.0
Blitz,1,2042,2063,A40,English Defense,300+0,Normal,39,39,0,2,2,1,1,-1,2,0,4,3,1,12,9,3,0,0,1,1,0,0,0,2,29,40,-11,96.0,0.0,96.0,0,3,-1,1,3,-11,1,-1,-2,2,-1,0,2691.0
Blitz,1,1748,1710,B08,"Pirc Defense: Classical Variation, Schlechter Variation",300+3,Normal,34,34,0,2,12,5,17,5,0,0,3,2,1,13,9,4,0,0,0,0,1,0,0,0,53,31,22,260.0,0.0,260.0,11,4,3,-2,-3,22,10,13,-2,9,0,0,2856.0
Blitz,-1,1429,1425,D00,Queen's Pawn Game: Accelerated London System,300+3,Normal,33,33,0,2,4,3,5,1,1,1,3,3,0,12,11,1,0,0,0,0,1,1,0,0,38,38,0,168.0,0.0,168.0,-3,1,1,-1,-1,0,0,-6,0,0,5,0,2508.0
Blitz,-1,1518,1518,C20,King's Pawn Game: Napoleon Attack,300+0,Normal,36,38,-2,2,4,3,5,1,1,1,4,3,1,12,12,0,0,0,0,0,1,1,0,0,40,30,10,162.0,0.0,162.0,4,0,1,1,1,10,3,-1,5,-6,7,2,2580.0
